station,year,particle_number,type,lat,lon
FR0030R,2009,887.2416736177362,PSD,45.772223,2.964886
IE0031R,2009,817.5938054033105,PSD,53.32583,-9.89944
IN1016R,2009,6432.93926871732,PSD,28.427778,77.151389
IT0004R,2009,5429.089633685566,PSD,45.8,8.633333
IT0009R,2009,864.2779922309608,PSD,44.16667,10.68333
NO0042G,2009,101.18656463191668,PSD,78.90715,11.88668
NO0058G,2009,267.32167260217767,PSD,-72.016667,2.533333
NP0001G,2009,909.4147845928526,PSD,27.9578,86.8149
SE0011R,2009,1621.9945371771664,PSD,56.016667,13.15
SE0012R,2009,1594.3993406191653,PSD,58.8,17.8333
US9050R,2009,1327.505091149348,PSD,40.445,-106.744003
BG0001R,2010,821.8018021214687,PSD,24.166667,23.583333
DE0002R,2010,3167.116712188287,PSD,52.802222,10.759444
DE0003R,2010,1199.3295889794324,PSD,47.914722,7.908611
DE0043G,2010,1474.1720155695791,PSD,47.8,11.016667
DE0044R,2010,2551.775797832463,PSD,51.53,12.93
DE0055B,2010,4673.095469216366,PSD,51.3525,12.4346
DE0056R,2010,3703.522009475309,PSD,52.998055,7.9425
DE0063K,2010,8079.679428742356,PSD,51.06,13.74
DE0067K,2010,10836.479496108674,PSD,51.344167,12.377222
DE0068B,2010,5113.308981716896,PSD,51.318056,12.2975
FI0050R,2010,906.4674652795454,PSD,61.85,24.283333
FR0030R,2010,1141.3762427241954,PSD,45.772223,2.964886
IE0031R,2010,1240.694782805689,PSD,53.32583,-9.89944
IT0004R,2010,4651.20008475962,PSD,45.8,8.633333
IT0009R,2010,921.6752222381324,PSD,44.16667,10.68333
LT0015R,2010,2370.620107656827,PSD,55.3761111111,21.0305555556
NL0011R,2010,4604.760011665291,PSD,51.970278,4.926389
NO0002R,2010,26.940417469341693,PSD,58.38853,8.252
NO0042G,2010,104.04672912910829,PSD,78.90715,11.88668
NP0001G,2010,1254.8941378605664,PSD,27.9578,86.8149
SE0011R,2010,1518.9269302716002,PSD,56.016667,13.15
SE0012R,2010,1391.3270796196527,PSD,58.8,17.8333
US9050R,2010,1869.8502397580223,PSD,40.445,-106.744003
DE0002R,2011,3144.2542490091123,PSD,52.802222,10.759444
DE0003R,2011,1269.556701673698,PSD,47.914722,7.908611
DE0043G,2011,1767.620655857077,PSD,47.8,11.016667
DE0044R,2011,2128.7582900573525,PSD,51.53,12.93
DE0055B,2011,3192.0380525074256,PSD,51.3525,12.4346
DE0056R,2011,2942.8523027533734,PSD,52.998055,7.9425
DE0060G,2011,0.4154230280901357,PSD,-70.666,-8.266
DE0063K,2011,7942.178594916524,PSD,51.06,13.74
DE0064B,2011,4718.154565250933,PSD,51.036111,13.730556
DE0067K,2011,8472.538825560008,PSD,51.344167,12.377222
DE0068B,2011,5130.466285265326,PSD,51.318056,12.2975
FI0050R,2011,993.2963752927232,PSD,61.85,24.283333
FR0030R,2011,1168.398230261995,PSD,45.772223,2.964886
IT0004R,2011,4327.290538463576,PSD,45.8,8.633333
IT0009R,2011,896.877923140149,PSD,44.16667,10.68333
MT0001R,2011,2388.3988114247263,PSD,36.0722,14.2184
NL0011R,2011,7666.160426352979,PSD,51.970278,4.926389
NO0002R,2011,35.216988063384115,PSD,58.38853,8.252
SE0011R,2011,4835.223030067542,PSD,56.016667,13.15
SE0012R,2011,1431.9569998981524,PSD,58.8,17.8333
US9050R,2011,1534.9611377972824,PSD,40.445,-106.744003
BE0007R,2012,1949.3501796856688,PSD,50.304003,6.001271
BG0001R,2012,713.228976672531,PSD,24.166667,23.583333
CZ0006B,2012,8938.898572829858,PSD,50.66109,14.04029
DE0002R,2012,3061.6515550914787,PSD,52.802222,10.759444
DE0003R,2012,1178.6547601518678,PSD,47.914722,7.908611
